Link,Unnamed: 0,has_been_scraped,Question,Category,Outcomes,Outcomes.1,Prices,Prices.1,24h Volume,Total Volume,Liquidity,Open Interest,Trades,End Date,Resolved,Whales,LPs,Trades.1,Name,ID
https://polymarketwhales.info/transactions?market=0xd1a9de33c6ff521d92e3a4b11c062bdeab25ca3d&page=1,3303,1.0,"NHL: Will the Penguins beat the Rangers by more than 1.5 goals in their March 25, 7:00 PM ET matchup?",Sports,Yes,No,0,1,$0,$159,150,$4,30,Fri Mar 25 2022,True,Whales,LPs,Trades,"NHL: Will the Penguins beat the Rangers by more than 1.5 goals in their March 25, 7:00 PM ET matchup?",0xd1a9de33c6ff521d92e3a4b11c062bdeab25ca3d
https://polymarketwhales.info/transactions?market=0x522282583ac7b8ff54e474b9551ccf1f687c41bb&page=1,3306,1.0,"NHL: Will the Kings beat the Kraken by more than 1.5 goals in their March 28, 10:30 PM ET matchup?",Sports,Yes,No,0,1,$0,$109,50,$0,30,Mon Mar 28 2022,True,Whales,LPs,Trades,"NHL: Will the Kings beat the Kraken by more than 1.5 goals in their March 28, 10:30 PM ET matchup?",0x522282583ac7b8ff54e474b9551ccf1f687c41bb
https://polymarketwhales.info/transactions?market=0x9c8f0044c9264a20d7248336dfeaee15d2f4ccd5&page=1,3300,0.0,"NHL: Will the Hurricanes beat the Wings by more than 2.5 goals in their April 14, 7:00 PM ET matchup?",Sports,Yes,No,0,1,$7,$174,150,"$3,689",30,Thu Apr 14 2022,True,Whales,LPs,Trades,"NHL: Will the Hurricanes beat the Wings by more than 2.5 goals in their April 14, 7:00 PM ET matchup?",0x9c8f0044c9264a20d7248336dfeaee15d2f4ccd5
https://polymarketwhales.info/transactions?market=0xe0a08af8314ec362460150252d3b75ee6e872f73&page=1,3142,0.0,Who will win Bucks v. Hawks: Eastern Conference Finals Game 3?,NBA Playoffs,Bucks,Hawks,1,0,$0,$606,0,$710,30,Sun Jun 27 2021,True,Whales,LPs,Trades,Who will win Bucks v. Hawks: Eastern Conference Finals Game 3?,0xe0a08af8314ec362460150252d3b75ee6e872f73
https://polymarketwhales.info/transactions?market=0x8138e7932911b48dad7f0480c0d4e37dee7d5142&page=1,3311,0.0,NBA: Will the Memphis Grizzlies' current winning streak end with 16 or more games in a row?,Sports,Yes,No,0,1,$0,$41,100,$798,30,Wed Jan 26 2022,True,Whales,LPs,Trades,NBA: Will the Memphis Grizzlies' current winning streak end with 16 or more games in a row?,0x8138e7932911b48dad7f0480c0d4e37dee7d5142
https://polymarketwhales.info/transactions?market=0x6097058170a7049a5b11b480c5cfbe930d235b37&page=1,3029,0.0,Premier League: Who will win the Man City vs. Liverpool game on April 10?,Sports,Man City,Liverpool,0.5,0.5,$0,$839,150,"$1,171",30,Sun Apr 10 2022,True,Whales,LPs,Trades,Premier League: Who will win the Man City vs. Liverpool game on April 10?,0x6097058170a7049a5b11b480c5cfbe930d235b37
https://polymarketwhales.info/transactions?market=0x0c6905d9af4063c25f9f061d182e66b5fdea58f3&page=1,2876,0.0,Will annual inflation in the European Union be 5.7% or more in January?,Business,Yes,No,0,1,$0,"$1,150",21,"$1,701",31,Wed Feb 23 2022,True,Whales,LPs,Trades,Will annual inflation in the European Union be 5.7% or more in January?,0x0c6905d9af4063c25f9f061d182e66b5fdea58f3
https://polymarketwhales.info/transactions?market=0x35e98c7869413663ed1323ee4a46711b27374ee2&page=1,3098,0.0,"Will the floor price of Mutant Apes be above 7 ETH on February 1st, 2022?",NFTs,Yes,No,1,0,$0,$685,50,"$2,118",31,Tue Feb 01 2022,True,Whales,LPs,Trades,"Will the floor price of Mutant Apes be above 7 ETH on February 1st, 2022?",0x35e98c7869413663ed1323ee4a46711b27374ee2
https://polymarketwhales.info/transactions?market=0xcb9ebf6f8fcf9b2a59f0337b965eb86916cd646f&page=1,3116,0.0,Will Paul Cezanne's “L'Estaque aux toits rouges” (Lot 10C) sell for more than $55m at Christie’s on November 11?,Art,Yes,No,0,1,$0,$661,20,$710,31,Thu Nov 11 2021,True,Whales,LPs,Trades,Will Paul Cezanne's “L'Estaque aux toits rouges” (Lot 10C) sell for more than $55m at Christie’s on November 11?,0xcb9ebf6f8fcf9b2a59f0337b965eb86916cd646f
https://polymarketwhales.info/transactions?market=0xfb2acbba32199b1559266c2fedf57ff3d58df24b&page=1,2777,0.0,"Will OpenSea launch a token by February 1st, 2022?",NFTs,Yes,No,0,1,$0,"$1,308",50,$504,31,Tue Feb 01 2022,True,Whales,LPs,Trades,"Will OpenSea launch a token by February 1st, 2022?",0xfb2acbba32199b1559266c2fedf57ff3d58df24b
https://polymarketwhales.info/transactions?market=0x28bfe2d0f7ef621c4c8ff7a43ebbb8b0bda961cb&page=1,3226,0.0,Africa Cup of Nations: Will Morocco win the tournament?,Sports,Yes,No,0,1,$0,$429,420,"$6,619",31,Sun Feb 06 2022,True,Whales,LPs,Trades,Africa Cup of Nations: Will Morocco win the tournament?,0x28bfe2d0f7ef621c4c8ff7a43ebbb8b0bda961cb
